playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
POOJA_VASTRAKAR,TEST,Batting First,2021–2024,3,40,17*,40,0,9,Mar-23,21.22,0,0,0,18.77,,,,
POOJA_VASTRAKAR,TEST,Fielding First,2021–2023,2,71,47,23.66,0,6,Apr-53,24.33,0,0,0,-0.66,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
POOJA_VASTRAKAR,ODI,Batting First,2018–2024,19,463,67,33.07,0,13,Feb-26,40.84,0,5,0,-7.77,,,,
POOJA_VASTRAKAR,ODI,Fielding First,2018–2024,14,122,30,13.55,0,14,Apr-34,38.85,0,1,0,-25.3,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
POOJA_VASTRAKAR,T20,Batting First,2018–2024,38,246,37*,13.66,0,22,03-Jun,24.59,0,8,0,-10.92,,,,
POOJA_VASTRAKAR,T20,Fielding First,2018–2024,34,86,19*,14.33,0,36,Apr-13,19.47,0,5,0,-5.13,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
SNEH_RANA,TEST,Batting First,2023–2026,3,65,30,16.25,0,13,Aug-77,22.76,1,3,0,-6.51,,,,
SNEH_RANA,TEST,Fielding First,2021–2023,2,91,80*,45.5,0,11,Apr-63,22.72,0,1,0,22.77,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
SNEH_RANA,ODI,Batting First,2014–2025,27,242,53*,16.13,0,41,May-43,27.41,1,12,0,-11.28,,,,
SNEH_RANA,ODI,Fielding First,2014–2026,18,182,44,20.22,0,18,Mar-31,40.16,0,8,0,-19.94,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
SNEH_RANA,T20,Batting First,2014–2025,19,57,16,19,0,12,Feb-21,33.83,0,7,0,-14.83,,,,
SNEH_RANA,T20,Fielding First,2016–2025,12,27,11,9,0,14,03-Sep,15.85,0,5,0,-6.85,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
RAJESHWARI_GAYAKWAD,TEST,Batting First,2014–2024,4,0,0,0,0,9,Apr-54,33.11,0,2,0,-33.11,,,,
RAJESHWARI_GAYAKWAD,TEST,Fielding First,2023–2023,1,0,0*,-,0,2,Feb-42,35.5,0,1,0,-,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
RAJESHWARI_GAYAKWAD,ODI,Batting First,2014–2022,36,10,3*,2.5,0,56,May-15,20.17,1,5,0,-17.67,,,,
RAJESHWARI_GAYAKWAD,ODI,Fielding First,2014–2022,28,11,5,2.2,0,43,Apr-21,21.6,0,8,0,-19.4,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
RAJESHWARI_GAYAKWAD,T20,Batting First,2014–2023,34,8,5*,-,0,34,Mar-21,17.85,0,6,0,-,,,,
RAJESHWARI_GAYAKWAD,T20,Fielding First,2015–2023,24,4,1*,4,0,27,03-Sep,20.74,0,4,0,-16.74,,,,
playerId,format,condition,span,Mat,Runs,HS,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,,,,,,
MEGHNA_SINGH,TEST,Batting First,2021–2021,1,2,2*,0,2,Feb-54,33,0,0,0,,,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
MEGHNA_SINGH,ODI,Batting First,2021–2023,9,13,8,6.5,0,11,Mar-26,27.54,0,1,0,-21.04,,,,
MEGHNA_SINGH,ODI,Fielding First,2021–2023,8,20,12*,20,0,5,Feb-43,57.8,0,0,0,-37.8,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
MEGHNA_SINGH,T20,Batting First,2022–2022,5,0,0,0,0,2,01-Dec,49.5,0,0,0,-49.5,,,,
MEGHNA_SINGH,T20,Fielding First,2022–2022,4,1,1,1,0,2,01-Jun,26,0,2,0,-25,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Ct,St,,,,,,,,,
PRATIKA_RAWAL,TEST,Batting First,2026–2026,1,81,63,40.5,0,0,0,,,,,,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
PRATIKA_RAWAL,ODI,Batting First,2024–2026,19,953,154,50.15,2,6,Feb-37,27.5,0,3,0,22.65,,,,
PRATIKA_RAWAL,ODI,Fielding First,2024–2026,8,236,89,39.33,0,0,-,-,0,2,0,-,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,5w,Ct,St,,,,,,
KASHVEE_GAUTAM,TEST,Batting First,2026–2026,1,34,34*,34,0,0,-,0,0,0,,,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
KASHVEE_GAUTAM,ODI,Batting First,2025–2026,4,90,43,30,0,2,Feb-47,74.5,0,0,0,-44.5,,,,
KASHVEE_GAUTAM,ODI,Fielding First,2025–2026,2,0,0,0,0,1,Jan-83,111,0,1,0,-111,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
Sayali Satghare,TEST,Batting First,2026–2026,1,10,7,5,0,4,Apr-50,14.25,0,0,0,-9.25,,,,
playerId,format,condition,span,Mat,Runs,HS,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,,,,,,
SAYALI_SATGHARE,ODI,Batting First,2025–2025,2,2,2*,0,2,Jan-24,32,0,2,0,,,,,,
SAYALI_SATGHARE,ODI,Fielding First,2025–2025,1,-,-,-,1,Jan-43,43,0,0,0,,,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
KRANTI_GAUD,TEST,Batting First,2026–2026,1,1,1,1,0,2,Feb-72,36,0,0,0,-35,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
