Harmanpreet Kaur,ODI,ENG Women,2009-2025,28,9,31.5,0,185,1,Jan-24,185,5.81,191,0,0,7,7,0,0,7,1 (1ct 0st),0.25,,
Harmanpreet Kaur,ODI,IRE Women,2012-2017,4,4,12,0,53,0,-,-,4.41,-,0,0,1,1,0,0,1,1 (1ct 0st),0.25,,
Harmanpreet Kaur,ODI,NZ Women,2009-2025,20,9,47,3,238,7,Feb-16,34,5.06,40.2,0,0,7,7,0,0,7,1 (1ct 0st),0.35,,
Harmanpreet Kaur,ODI,PAK Women,2009-2025,6,3,6.4,0,17,2,01-Jan,8.5,2.55,20,0,0,3,3,0,0,3,1 (1ct 0st),0.5,,
Harmanpreet Kaur,ODI,SA Women,2014-2025,28,18,70.1,2,359,10,Feb-18,35.9,5.11,42.1,0,0,10,10,0,0,10,1 (1ct 0st),0.357,,
Harmanpreet Kaur,ODI,SL Women,2009-2025,20,10,40,1,169,3,Jan-13,56.33,4.22,80,0,0,11,11,0,0,11,3 (3ct 0st),0.55,,
Harmanpreet Kaur,ODI,WI Women,2011-2024,20,8,33,1,157,3,Feb-42,52.33,4.75,66,0,0,8,8,0,0,8,2 (2ct 0st),0.4,,
,,,,,,,,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,Overs,Mdns,Runs Conceded,Wkts,BBI,Bowl Avg,Econ,SR,4w,5w,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,,
Smriti Mandhana,ODI,AUS Women,2016-2026,24,1,1,0,12,0,-,-,12,-,0,0,7,7,0,0,7,2 (2ct 0st),0.291,,
Smriti Mandhana,ODI,BAN Women,2013-2025,7,,,,,,,,,5,5,0,0,5,3 (3ct 0st),0.714,,,,,
Smriti Mandhana,ODI,ENG Women,2014-2025,21,,,,,,,,,8,8,0,0,8,2 (2ct 0st),0.38,,,,,
Smriti Mandhana,ODI,IRE Women,2025-2025,3,,,,,,,,,0,0,0,0,0,0,0,,,,,
Smriti Mandhana,ODI,NZ Women,2015-2025,16,,,,,,,,,7,7,0,0,7,3 (3ct 0st),0.437,,,,,
Smriti Mandhana,ODI,PAK Women,2017-2025,3,,,,,,,,,2,2,0,0,2,2 (2ct 0st),0.666,,,,,
