playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
titas_sadhu,odi,vs IRE Women,,3,,,,,,,,,,,,,
titas_sadhu,odi,vs WI Women,,3,1,0,4,4,4,5,80,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
uma_chetry,odi,vs BAN Women,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
vaishnavi_sharma,odi,vs AUS Women,,1,1,1,10,10*,,5,200,0,0,0,2,0,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
arundhati_reddy,odi,vs AUS Women,2024-2025,3,3,0,19,10,6.33,30,63.33,0,0,0,0,0,
arundhati_reddy,odi,vs ENG Women,2025-2025,1,1,0,14,14,14,18,77.77,0,0,0,2,0,
arundhati_reddy,odi,vs NZ Women,2024-2024,2,2,0,16,14,8,32,50,0,0,0,0,0,
arundhati_reddy,odi,vs SA Women,2024-2025,3,,,,,,,,,,,,,
arundhati_reddy,odi,vs SL Women,2025-2025,2,1,1,9,9*,,11,81.81,0,0,0,0,0,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
dayalan_hemalatha,odi,vs ENG Women,2022-2022,2,1,0,2,2,2,17,11.76,0,0,0,0,0,
dayalan_hemalatha,odi,vs NZ Women,2019-2024,4,2,0,16,13,8,41,39.02,0,0,0,1,0,
dayalan_hemalatha,odi,vs SA Women,2021-2024,3,3,0,38,24,12.66,72,52.77,0,0,0,2,2,
dayalan_hemalatha,odi,vs SL Women,2018-2018,3,2,0,41,35,20.5,37,110.81,0,0,0,4,1,
,,,,,,,,,,,,,,,,,
playerId,format,vs Team,Span,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100s,50s,0s,4s,6s,
harleen_deol,odi,vs AUS Women,2023-2026,9,9,0,198,54,22,287,68.98,0,1,0,19,3,
